date|time|description|vendor|amount
2024-01-13|09:27:18|Received web design retainer|Lush Cosmetics|2800.00
2024-02-16|14:33:51|Paid video editor for marketing campaign|100% Pure Cosmetics|-500.00
2024-03-24|09:49:18|Received invoice for e-commerce website setup|Sazon De Loa|2400.00
2024-04-13|09:32:43|Paid for SEO and keyword tools subscription|Apple|-85.00
2024-05-14|10:16:49|Received payment for social media management|Rare Beauty|2200.00
2024-06-22|13:12:06|Received project retainer for digital rebranding|Linda Bakery|2600.00
2024-07-17|10:58:53|Paid software upgrade for design tools|Coral Restoration Foundation|-300.00
2024-08-12|10:26:18|Received website optimization payment|ASPCA|2000.00
2024-09-08|10:48:19|Paid content scheduling platform subscription|St. Jude's|-90.00
2024-10-29|10:52:44|Received content strategy project payment|Lush Cosmetics|2700.00
2024-11-22|13:28:47|Received invoice for marketing analytics service|100% Pure Cosmetics|2800.00
2024-12-27|11:47:25|Paid influencer collaboration campaign|Sazon De Loa|-600.00
2025-01-21|12:43:25|Received web development and launch fee|Apple|4000.00
2025-02-17|09:25:33|Paid rent for creative studio|Rare Beauty|-1800.00
2025-03-05|11:09:12|Received project payment for website redesign|Linda Bakery|4200.00
2025-04-04|13:47:42|Paid equipment and office supplies|Coral Restoration Foundation|-250.00
2025-05-02|09:27:44|Received digital marketing retainer|ASPCA|2700.00
2025-06-16|09:32:19|Paid co-working and office rent|St. Jude's|-1800.00
2025-07-10|13:29:45|Received consulting retainer for rebranding|Lush Cosmetics|2800.00
2025-08-25|11:52:44|Paid website hosting and maintenance fees|100% Pure Cosmetics|-220.00
2025-09-21|09:17:23|Received final payment for campaign launch|Sazon De Loa|1500.00
2025-10-11|12:48:10|Paid business insurance renewal|Apple|-400.00
2025-11-10|11:43:12|Received consulting project payment|Rare Beauty|2300.00
2025-12-15|13:24:16|Received year-end strategy session fee|Linda Bakery|2600.00
2025-10-17|09:56:46|Payment Description|Vendor Name|-1000.0
2025-10-17|11:19:31|dsdada|fdsfsd|23232.0
2025-10-17|11:19:38|sfdsfws|dfsfsds|-432432.0
